Local_Auth_Code,x,y,geo_area,EU_zone_agglom,Total_PM25,Motorway_in,Motorway_out,Trunk_A_Rd_in,Trunk_A_Rd_out,Primary_A_Rd_in,Primary_A_Rd_out,Minor_Rd.Cold_Start_in,Minor_Rd.Cold_Start_out,Brake.Tyre_in,Brake.Tyre_out,Road_Abrasion_in,Road_Abrasion_out,Industry_in,Industry_out,Domestic_in,Domestic_out,Rail_in,Rail_out,Other_in,Other_out,PM_secondary,Residual.Salt,Point_Sources,Sex,AgeGroup,Pathogen,RatePer100000
S12000033,383500,815500,1,38,3.624074,0,0,0,0.003777,0,0.002482,7.62E-04,0.007471,0.002012,0.031868,9.19E-04,0.012949,0.005039,0.140596,0.010548,0.173902,0.001333,0.001013,0.002589,0.050993,2.405387,0.754099,0.016341,Female,<1 years,Adenovirus,7.535795026
S12000033,384500,815500,1,38,3.741345,0,0,0,0.003913,0,0.002698,6.40E-05,0.007979,1.78E-04,0.033613,8.10E-05,0.013699,0.005351,0.147688,0.00117,0.180955,0.001421,0.001033,0.001642,0.057703,2.405387,0.859388,0.017382,Female,<1 years,Human metapneumovirus,0
S12000033,385500,815500,1,38,3.761882,0,0,0,0.004522,0,0.002979,4.38E-04,0.008607,0.001203,0.036843,5.50E-04,0.015078,0.007869,0.156526,0.005998,0.175452,0.001505,0.001057,0.001723,0.068279,2.400255,0.854598,0.018405,Female,<1 years,Influenza - Type A (any subtype),0
S12000033,383500,814500,1,38,3.709866,0,0,0,0.004628,0,0.002596,8.26E-04,0.008205,0.002196,0.035768,0.001003,0.014655,0.006616,0.144799,0.011328,0.221273,0,8.97E-04,0.002731,0.052971,2.425729,0.756858,0.016789,Female,<1 years,Influenza - Type A (not subtyped),0
S12000033,384500,814500,1,38,3.618867,0,0,0,0.004821,0,0.002842,2.74E-04,0.008365,7.98E-04,0.037195,3.65E-04,0.015321,0.008831,0.150209,0,0.191232,0,9.48E-04,0.002885,0.059846,2.425729,0.690853,0.018353,Female,<1 years,Influenza - Type A or B,0
S12000033,385500,814500,1,38,3.717991,0,0,0.00209,0.005679,0,0.003157,5.32E-04,0.009238,0.007397,0.041632,0.003544,0.017235,0.008231,0.162435,0.009575,0.176109,0,0.001036,0.001956,0.075256,2.419336,0.752201,0.021353,Female,<1 years,Influenza - Type A(H1N1)pdm09,0
S12000033,386500,814500,1,38,3.820152,0,0,0.006265,0.005494,0,0.003627,7.14E-04,0.011602,0.019918,0.045167,0.009591,0.018396,0.008327,0.187773,0.007346,0.18172,8.20E-04,9.98E-04,0.001646,0.118646,2.419336,0.747615,0.025154,Female,<1 years,Influenza - Type A(H3),0
S12000033,387500,814500,1,38,4.03641,0,0,0.005991,0.005647,0,0.004492,0.001804,0.015607,0.021458,0.051595,0.010181,0.020704,0.011923,0.222072,0.025869,0.197937,0.001758,0.001067,0.002318,0.165411,2.419336,0.7995,0.051741,Female,<1 years,Influenza - Type B,0
S12000033,392500,814500,1,38,4.105049,0,0,0.00367,0.003906,0,0.006675,2.02E-04,0.015964,0.011356,0.058797,0.005467,0.022244,0.002632,0.303576,4.69E-04,0.289562,0,9.80E-04,0.001208,0.132297,2.41146,0.787356,0.047233,Female,<1 years,Mycoplasma pneumoniae,0
S12000033,393500,814500,1,38,4.400143,0,0,0.004131,0.004388,0,0.006483,6.69E-04,0.016056,0.01429,0.0603,0.006779,0.022874,0.119374,0.297212,0.002878,0.303892,0,9.43E-04,0.001581,0.132723,2.41146,0.938904,0.055203,Female,<1 years,Parainfluenza virus,15.07159005
S12000033,394500,814500,1,38,4.265264,0,0,0.004264,0.005373,0,0.005647,0.00093,0.014773,0.015432,0.058626,0.007308,0.022629,0.003502,0.312759,0.005819,0.308445,0,7.83E-04,0.001646,0.118803,2.41146,0.906829,0.060231,Female,<1 years,Respiratory syncytial virus,48.98266767
S12000033,383500,813500,1,38,3.928652,0,0,0,0.007091,0,0.002703,7.20E-04,0.00934,0.001479,0.04501,6.16E-04,0.018821,0.008452,0.154485,0.028964,0.295799,0,6.31E-04,0.001203,0.057817,2.425729,0.852058,0.017734,Female,<1 years,Rhinovirus,41.44687265
S12000033,384500,813500,1,38,3.6638,0,0,0,0.006341,0,0.002976,3.63E-04,0.008716,0.001059,0.042477,4.84E-04,0.017783,0.005988,0.158503,0,0.207051,0,6.68E-04,0.001586,0.062321,2.425729,0.70192,0.019835,Female,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
S12000033,385500,813500,1,38,3.64946,0,0,0.005895,0.006285,0,0.003351,7.93E-04,0.009874,0.019135,0.044718,0.009205,0.018573,0.005495,0.172414,0.001272,0.181847,0,7.25E-04,0.002242,0.081358,2.419336,0.643148,0.023797,Male,<1 years,Adenovirus,24.65570075
S12000033,386500,813500,1,38,4.023674,0,0,0,0.00749,0,0.003906,0.004559,0.01371,0.006163,0.054063,0.002163,0.022276,0.022003,0.202177,0.007174,0.18415,0,8.92E-04,0.125375,0.116875,2.419336,0.795182,0.036177,Male,<1 years,Human metapneumovirus,10.56672889
S12000033,387500,813500,1,38,4.315302,0,0,0,0.006442,0,0.005421,0.010791,0.018639,0.008258,0.061952,0.002804,0.024617,0.028926,0.25312,0.003425,0.227142,1.65E-04,0.001266,0.233239,0.182596,2.419336,0.807584,0.019579,Male,<1 years,Influenza - Type A (any subtype),0
S12000033,388500,813500,1,38,4.494044,0,0,0,0.005611,0.004223,0.007047,0.047976,0.019467,0.034719,0.067704,0.012322,0.026221,0.044064,0.297301,0.167848,0.264372,0.001348,0.00151,0.041402,0.234055,2.419336,0.742634,0.05489,Male,<1 years,Influenza - Type A (not subtyped),0
